# ORT reference, 276 tensors matching 'nonlin_attention'
# tokens=[[28, 120, 18, 74, 26, 32]] prompt=[[120, 54, 122, 24, 3, 24]] frames=57 speed=1.0
# op                 shape                       min          max         mean  name
  Reshape            [13, 1, 1, 144]        -12.4189      13.5939    0.0194265  /text_encoder/0/layers.2/nonlin_attention/Reshape_1_output_0
  Transpose          [1, 1, 13, 144]        -12.4189      13.5939    0.0194265  /text_encoder/0/layers.2/nonlin_attention/Transpose_output_0
  MatMul             [1, 1, 13, 144]         -9.7222      13.3173    0.0981961  /text_encoder/0/layers.2/nonlin_attention/MatMul_output_0
  Transpose          [13, 1, 1, 144]         -9.7222      13.3173    0.0981961  /text_encoder/0/layers.2/nonlin_attention/Transpose_1_output_0
  Reshape            [13, 1, 144]            -9.7222      13.3173    0.0981961  /text_encoder/0/layers.2/nonlin_attention/Reshape_2_output_0
  Mul                [13, 1, 144]           -54.6069      66.8127    0.0532343  /text_encoder/0/layers.2/nonlin_attention/Mul_4_output_0
  DynamicQuantizeLinear [13, 1, 144]                  0          255      115.119  /text_encoder/0/layers.2/nonlin_attention/Mul_4_output_0_quantized
  DynamicQuantizeLinear []                     0.476155     0.476155     0.476155  /text_encoder/0/layers.2/nonlin_attention/Mul_4_output_0_scale
  DynamicQuantizeLinear []                          115          115          115  /text_encoder/0/layers.2/nonlin_attention/Mul_4_output_0_zero_point
  Mul                []                  0.000145136  0.000145136  0.000145136  /text_encoder/0/layers.2/nonlin_attention/out_proj/MatMul_quant_scales_mul:0
  MatMulInteger      [13, 1, 192]             -30713        32323      109.493  /text_encoder/0/layers.2/nonlin_attention/out_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 192]             -30713        32323      109.493  /text_encoder/0/layers.2/nonlin_attention/out_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 192]           -4.45757      4.69124    0.0158914  /text_encoder/0/layers.2/nonlin_attention/out_proj/MatMul_output_0
  Add                [13, 1, 192]            -4.4683      4.69464    0.0155186  /text_encoder/0/layers.2/nonlin_attention/out_proj/Add_output_0
  Mul                []                   0.00022402   0.00022402   0.00022402  /text_encoder/0/layers.3/nonlin_attention/in_proj/MatMul_quant_scales_mul:0
  MatMulInteger      [13, 1, 432]             -76095        80287      19.7626  /text_encoder/0/layers.3/nonlin_attention/in_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 432]             -76095        80287      19.7626  /text_encoder/0/layers.3/nonlin_attention/in_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 432]           -17.0468      17.9859   0.00442724  /text_encoder/0/layers.3/nonlin_attention/in_proj/MatMul_output_0
  Add                [13, 1, 432]           -17.0417      17.9605  -0.00171862  /text_encoder/0/layers.3/nonlin_attention/in_proj/Add_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.3/nonlin_attention/Shape_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.3/nonlin_attention/Shape_1_output_0
  Shape              [3]                           1          432      148.667  /text_encoder/0/layers.3/nonlin_attention/Shape_2_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.3/nonlin_attention/Gather_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.3/nonlin_attention/Gather_1_output_0
  Gather             [1]                         432          432          432  /text_encoder/0/layers.3/nonlin_attention/Gather_2_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.3/nonlin_attention/Unsqueeze_1_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.3/nonlin_attention/Unsqueeze_2_output_0
  Add                [1]                         434          434          434  /text_encoder/0/layers.3/nonlin_attention/Add_output_0
  Concat             [3]                           1          144      52.6667  /text_encoder/0/layers.3/nonlin_attention/Concat_output_0
  Div                [1]                         144          144          144  /text_encoder/0/layers.3/nonlin_attention/Div_output_0
  Mul                [1]                         144          144          144  /text_encoder/0/layers.3/nonlin_attention/Mul_output_0
  Mul                [1]                         288          288          288  /text_encoder/0/layers.3/nonlin_attention/Mul_1_output_0
  Mul                [1]                         432          432          432  /text_encoder/0/layers.3/nonlin_attention/Mul_2_output_0
  Shape              [4]                           1           13            7  /text_encoder/0/layers.3/nonlin_attention/Shape_5_output_0
